,Neighbourhood,NeighbourhoodLatitude,NeighbourhoodLongitude,Venue,VenueLatitude,VenueLongitude,VenueCategory,VenuePrimary,Borough,Longitude,City
3389,Chinatown,40.71561842231432,-73.99427936255978,Hong Kong Supermarket 香港超級市場,40.717595732385966,-73.99617253722293,Supermarket,shops,Manhattan,-73.99427936255978,New York
3390,Chinatown,40.71561842231432,-73.99427936255978,Malaysia Beef Jerky,40.71852709684469,-73.99582403497948,Snack Place,food,Manhattan,-73.99427936255978,New York
3391,Chinatown,40.71561842231432,-73.99427936255978,Kopitiam,40.71397394589247,-73.9908676845466,Malay Restaurant,food,Manhattan,-73.99427936255978,New York
3392,Chinatown,40.71561842231432,-73.99427936255978,Zu Yuan Spa,40.715468729173686,-73.9986270534065,Spa,shops,Manhattan,-73.99427936255978,New York
3393,Chinatown,40.71561842231432,-73.99427936255978,Panda Cafe,40.71703265308132,-73.99458186646433,Bubble Tea Shop,food,Manhattan,-73.99427936255978,New York
3394,Chinatown,40.71561842231432,-73.99427936255978,Little Canal,40.714317,-73.990361,Coffee Shop,food,Manhattan,-73.99427936255978,New York
3395,Chinatown,40.71561842231432,-73.99427936255978,Golden Diner,40.71245135327847,-73.99421274662018,Diner,food,Manhattan,-73.99427936255978,New York
3396,Chinatown,40.71561842231432,-73.99427936255978,Nam Son Vietnamese Restaurant,40.718214526047454,-73.99434463491643,Vietnamese Restaurant,food,Manhattan,-73.99427936255978,New York
3397,Chinatown,40.71561842231432,-73.99427936255978,Anna Sheffield Jewelry,40.716406334324105,-73.99113082791186,Jewelry Store,shops,Manhattan,-73.99427936255978,New York
3398,Chinatown,40.71561842231432,-73.99427936255978,The Leon Hotel,40.715993699208575,-73.99517068751025,Hotel,travel,Manhattan,-73.99427936255978,New York
3399,Chinatown,40.71561842231432,-73.99427936255978,Apothéke,40.71446997055456,-73.99801834428807,Cocktail Bar,nightlife,Manhattan,-73.99427936255978,New York
3400,Chinatown,40.71561842231432,-73.99427936255978,CW Pencil Enterprise,40.71758268630868,-73.99066150188446,Paper / Office Supplies Store,shops,Manhattan,-73.99427936255978,New York
3401,Chinatown,40.71561842231432,-73.99427936255978,Jing Fong Restaurant 金豐大酒樓,40.7158812029412,-73.99720861552515,Dim Sum Restaurant,food,Manhattan,-73.99427936255978,New York
3402,Chinatown,40.71561842231432,-73.99427936255978,Hwa Yuan,40.713618266530226,-73.99597818966741,Chinese Restaurant,food,Manhattan,-73.99427936255978,New York
3403,Chinatown,40.71561842231432,-73.99427936255978,Joy's Flowers & Gifts,40.71560293093889,-73.9899371418026,Gift Shop,shops,Manhattan,-73.99427936255978,New York
3404,Chinatown,40.71561842231432,-73.99427936255978,Phở Grand,40.71782396789147,-73.99280072371246,Vietnamese Restaurant,food,Manhattan,-73.99427936255978,New York
3405,Chinatown,40.71561842231432,-73.99427936255978,Fay Da Bakery,40.71676493044495,-73.99787389276216,Bakery,food,Manhattan,-73.99427936255978,New York
3406,Chinatown,40.71561842231432,-73.99427936255978,House Special 甘來飯店,40.7178008638246,-73.99684623787122,Chinese Restaurant,food,Manhattan,-73.99427936255978,New York
3407,Chinatown,40.71561842231432,-73.99427936255978,Stanley's Pharmacy,40.7157817455398,-73.99054400644904,Pharmacy,shops,Manhattan,-73.99427936255978,New York
3408,Chinatown,40.71561842231432,-73.99427936255978,iLook,40.716163255085476,-73.99815860374045,Optical Shop,building,Manhattan,-73.99427936255978,New York
3409,Chinatown,40.71561842231432,-73.99427936255978,H Optics,40.7177568898041,-73.99044147871669,Optical Shop,building,Manhattan,-73.99427936255978,New York
3410,Chinatown,40.71561842231432,-73.99427936255978,MooShoes NYC,40.71786084384097,-73.99037749508857,Shoe Store,shops,Manhattan,-73.99427936255978,New York
3411,Chinatown,40.71561842231432,-73.99427936255978,Mr. Fong's,40.71234870755251,-73.99429476756772,Cocktail Bar,nightlife,Manhattan,-73.99427936255978,New York
3412,Chinatown,40.71561842231432,-73.99427936255978,Bacaro,40.714467897557796,-73.9915893664933,Italian Restaurant,food,Manhattan,-73.99427936255978,New York
3413,Chinatown,40.71561842231432,-73.99427936255978,Cafe Grumpy,40.71506878269568,-73.98995222774947,Coffee Shop,food,Manhattan,-73.99427936255978,New York
